ld8,H_all1,H_all2,H_all3,H_all4,H_all5,H_all6,H_all7,H_all8,H_all9,H_all10,H_all11,H_all12,H_all13
11543_20180804,1.31105632226238,1.36171957925791,1.2931625169226,1.37746638105829,1.30150013960309,1.49646975389477,1.3288866893795,1.19061341579915,1.34944573770123,1.26325558256904,1.24241034073308,1.01289751457635,1.20327763955489
11561_20190930,1.28885039416571,1.14544310404654,1.0879828726083,1.27488969261474,1.02296630640252,1.22057414388916,1.31633339672147,1.25351426250283,1.02714650924041,1.1779394145688,0.929243574522216,1.14572931627755,1.20869276345575
11561_20210607,1.41598284959921,1.4484556806033,1.50713366967847,1.5704962468276,1.36960802648354,1.5277170685777,1.41588822533117,1.26079869069851,1.39320171891787,1.41756855756247,1.17335249192958,1.2621090457373,1.34615375923075
11565_20191007,0.967654818060216,1.18788427338452,1.373251027794,1.32012962645816,1.11367013997722,1.06076689763967,1.1176128919545,1.08657643090123,1.29857794066138,1.11691835918367,1.1758663855506,1.01212499585192,1.23347170537615
11575_20190708,1.46621577140429,1.06489610268346,1.32834465606768,1.27306819962471,1.47144307450359,1.24521544179423,1.30974888807085,1.33872122347108,1.26514528509703,1.16786152711836,1.08993704030007,1.18625167771303,1.1050712838698
11575_20210503,1.36459231590085,1.37409490497499,1.4011976991585,1.23666014440842,1.16434958152275,1.55811983129358,1.43798315005828,1.35724309983726,1.52786886438829,1.58535927887181,1.25908948610492,1.47301243861793,1.32748173860077
11599_20191202,1.315765799,1.20180936439942,1.23541733684355,1.3742692865416,1.35629184016487,1.37638649962633,1.35164920638096,1.20913789682066,1.24502670696408,1.18672781249614,1.08732010329231,1.12266797159283,1.16733486930821
11626_20180312,1.22186718789102,0.996295982429247,0.989946296478372,1.15579559653023,1.01425354646473,1.27296783779002,1.14555311355884,1.26709339722547,1.11424356352634,1.1160206620061,1.2866398299227,1.24631848674783,1.1895970753274
11627_20180323,1.33540130957956,1.35975796833285,1.41335487053466,1.53493273665603,1.52553919785239,1.42204151374317,1.41049086292439,1.17179868506114,1.22059059919201,1.19952237321994,1.29495995765347,1.27735930365484,1.49801912383508
11629_20180323,1.47887065886385,1.36599958553621,1.40165366423097,1.45384493992183,1.45543841039894,1.41628648981377,1.35806105504927,1.34202787218399,1.54740300440184,1.34417075014376,1.48287763873993,1.39192965354466,1.38084459180658
11629_20191003,1.46480042320264,1.45869696231293,1.29888246958168,1.3705373282108,1.51190525064908,1.57863595824036,1.43158739676537,1.44252216001149,1.47633037423725,1.5944857745069,1.24787172531273,1.37719508296597,1.13719479956439
11630_20180524,1.35966822667643,0.997169524939107,1.34093649384536,1.50507534499555,1.3708721889872,1.26691721690896,1.37117744388945,1.15326135242728,1.35993282935604,1.41323361336081,1.15181138028469,1.26546874994734,1.32906860080557
11630_20191216,1.44366119946907,1.52052376035196,1.6329943779508,1.49670722809171,1.54466261924831,1.46301635326848,1.47046766208299,1.22314038275045,1.41951891651734,1.34908067450609,1.18681240256953,1.4836922013005,1.04426821382263
11630_20210717,1.48632858347763,1.5140244376783,1.40650381405616,1.5241542166609,1.41591492948085,1.41063080278489,1.34045733594164,1.33180218778671,1.48250674442039,1.2188911867727,1.17300247424047,1.31682749331237,1.40266389524887
11631_20180517,1.5038824279231,1.46726122912249,1.52837344252067,1.43709404671788,1.46897755729949,1.43795004025626,1.40236787348606,1.41095241730968,1.45740995337349,1.42294244564832,1.18913207705508,1.27826781760996,1.42117435585776
11632_20180416,1.46234478022069,1.44070121658252,1.36527283528581,1.37450940024546,1.48821999767351,1.50178852444909,1.49803935633311,1.29620594709744,1.31966991229108,1.31407439770143,1.53213376031482,1.30113630758881,1.47489641182051
11633_20180426,1.31517027594135,1.51416037448717,1.27166102240013,1.3419471510397,1.31323572074471,1.58061023460061,1.37865560576088,1.46082429505672,1.42144907281246,1.58241692126657,1.15772865436646,1.06345675694869,1.39418709226266
