"subj","date","run","ASCor","ASErrCor","ASErr","Dropped","total","AScor.lat","ASErrCor.lat","ASErr.lat"
11769,20190322,1,40,8,0,0,48,251.95,181.25,NA
11769,20200929,1,31,15,0,2,48,251.967741935484,167.933333333333,NA
11769,20220401,1,33,11,0,4,48,257.272727272727,203.818181818182,NA
11742,20190103,1,4,33,1,10,48,169.25,223.878787878788,196
11742,20201015,1,23,12,0,13,48,206.869565217391,160.5,NA
11742,20211117,1,19,20,2,7,48,226.894736842105,174.4,187.5
11739,20181217,1,14,18,9,7,48,223.214285714286,138.222222222222,124.777777777778
11739,20201029,1,7,15,3,23,48,240.571428571429,138.2,147.666666666667
11732,20181204,1,3,6,0,39,48,392,126.833333333333,NA
11732,20210203,1,18,27,1,2,48,290.222222222222,151.888888888889,393
11727,20181127,1,41,5,0,2,48,226.634146341463,175.2,NA
11727,20201014,1,39,8,0,1,48,235.282051282051,153.625,NA
11727,20220304,1,37,8,0,3,48,200.594594594595,137.5,NA
11733,20181205,1,28,18,0,2,48,275.607142857143,143.777777777778,NA
11733,20211115,1,17,24,0,7,48,299.588235294118,143.125,NA
11741,20181227,1,36,8,0,4,48,305.027777777778,178.625,NA
11734,20181206,1,31,10,0,7,48,207.387096774194,148.2,NA
11734,20201104,1,37,8,0,3,48,201.459459459459,115.125,NA
11734,20211214,1,26,13,0,9,48,147.923076923077,99.3846153846154,NA
11753,20190205,1,45,3,0,0,48,336.844444444444,192,NA
11753,20201007,1,42,5,0,1,48,280.119047619048,161.2,NA
11753,20220302,1,22,8,5,13,48,224.909090909091,117,137.2
11731,20181204,1,1,39,0,8,48,82,120.820512820513,NA
11731,20200828,1,2,38,2,6,48,94.5,126,126.5
11731,20220408,1,1,42,1,4,48,186,120.595238095238,97
11738,20181213,1,42,3,0,3,48,346.047619047619,186.333333333333,NA
11738,20211203,1,42,3,0,3,48,269.880952380952,158,NA
11743,20190107,1,22,22,0,4,48,337.318181818182,196.227272727273,NA
11747,20190124,1,35,10,1,2,48,259.657142857143,196.7,224
11751,20190129,1,14,16,1,17,48,269.357142857143,175.8125,167
11751,20201006,1,32,12,0,4,48,248.53125,176.75,NA
11751,20211216,1,33,7,1,7,48,271.878787878788,167.857142857143,199
11750,20190129,1,36,11,0,1,48,356.944444444444,153.727272727273,NA
