"trial" "xdat" "lat" "fstCorrect" "ErrCorr" "AS" "Count" "Desc" "ld8"
"127" 31 133 221 TRUE FALSE "AS" 1 "" "10173.20180718"
"128" 32 131 NA FALSE FALSE "AS" -1 "average fixpos(48.725000) is off from baseline(130.500000)!" "10173.20180718"
"129" 33 131 285 TRUE FALSE "AS" 1 "" "10173.20180718"
"130" 34 131 184 TRUE FALSE "AS" 1 "" "10173.20180718"
"131" 35 134 186 TRUE FALSE "AS" 1 "" "10173.20180718"
"132" 36 134 NA FALSE FALSE "AS" -1 "blink ends before any saccades" "10173.20180718"
"133" 37 131 132 FALSE TRUE "AS" 2 "" "10173.20180718"
"134" 38 133 292 TRUE FALSE "AS" 1 "" "10173.20180718"
"135" 39 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"136" 40 132 304 TRUE FALSE "AS" 1 "" "10173.20180718"
"137" 41 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"138" 42 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"139" 43 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"140" 44 132 164 TRUE FALSE "AS" 1 "" "10173.20180718"
"141" 45 134 125 FALSE TRUE "AS" 2 "" "10173.20180718"
"142" 46 133 105 FALSE TRUE "AS" 2 "" "10173.20180718"
"143" 47 133 176 TRUE FALSE "AS" 1 "" "10173.20180718"
"144" 48 134 326 TRUE FALSE "AS" 1 "" "10173.20180718"
"145" 1 133 223 TRUE FALSE "AS" 1 "" "10202.20190912"
"146" 2 132 181 TRUE FALSE "AS" 1 "" "10202.20190912"
"147" 3 132 172 TRUE FALSE "AS" 1 "" "10202.20190912"
"148" 4 132 NA FALSE FALSE "AS" -1 "moving (6.360 px/60Hz) before target onset" "10202.20190912"
"149" 5 134 291 TRUE FALSE "AS" 1 "" "10202.20190912"
"150" 6 132 130 TRUE FALSE "AS" 1 "" "10202.20190912"
"151" 7 133 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10202.20190912"
"152" 8 131 135 TRUE FALSE "AS" 1 "" "10202.20190912"
"153" 9 131 110 FALSE TRUE "AS" 2 "" "10202.20190912"
"154" 10 131 167 TRUE FALSE "AS" 1 "" "10202.20190912"
"155" 11 134 107 FALSE FALSE "AS" 0 "" "10202.20190912"
"156" 12 133 135 TRUE FALSE "AS" 1 "" "10202.20190912"
"157" 13 131 169 TRUE FALSE "AS" 1 "" "10202.20190912"
"158" 14 134 212 TRUE FALSE "AS" 1 "" "10202.20190912"
"159" 15 133 88 FALSE TRUE "AS" 2 "" "10202.20190912"
"160" 16 134 93 FALSE TRUE "AS" 2 "" "10202.20190912"
"161" 17 131 149 TRUE FALSE "AS" 1 "" "10202.20190912"
"162" 18 131 144 TRUE FALSE "AS" 1 "" "10202.20190912"
"163" 19 133 181 TRUE FALSE "AS" 1 "" "10202.20190912"
"164" 20 132 71 TRUE FALSE "AS" 1 "" "10202.20190912"
"165" 21 134 147 FALSE TRUE "AS" 2 "" "10202.20190912"
"166" 22 134 189 TRUE FALSE "AS" 1 "" "10202.20190912"
"167" 23 131 83 TRUE FALSE "AS" 1 "" "10202.20190912"
"168" 24 134 179 TRUE FALSE "AS" 1 "" "10202.20190912"
"169" 25 132 130 TRUE FALSE "AS" 1 "" "10202.20190912"
"170" 26 131 NA FALSE FALSE "AS" -1 "moving (4.672 px/60Hz) before target onset" "10202.20190912"
"171" 27 131 253 TRUE FALSE "AS" 1 "" "10202.20190912"
"172" 28 131 176 TRUE FALSE "AS" 1 "" "10202.20190912"
"173" 29 134 95 FALSE FALSE "AS" 0 "" "10202.20190912"
"174" 30 133 182 TRUE FALSE "AS" 1 "" "10202.20190912"
"175" 31 133 186 TRUE FALSE "AS" 1 "" "10202.20190912"
"176" 32 134 163 TRUE FALSE "AS" 1 "" "10202.20190912"
"177" 33 133 113 FALSE TRUE "AS" 2 "" "10202.20190912"
"178" 34 133 280 TRUE FALSE "AS" 1 "" "10202.20190912"
"179" 35 133 226 TRUE FALSE "AS" 1 "" "10202.20190912"
"180" 36 132 196 FALSE TRUE "AS" 2 "" "10202.20190912"
"181" 37 132 179 TRUE FALSE "AS" 1 "" "10202.20190912"
"182" 38 132 164 TRUE FALSE "AS" 1 "" "10202.20190912"
"183" 39 131 144 TRUE FALSE "AS" 1 "" "10202.20190912"
"184" 40 134 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10202.20190912"
"185" 41 133 NA FALSE FALSE "AS" -1 "moving (5.917 px/60Hz) before target onset" "10202.20190912"
"186" 42 134 215 TRUE FALSE "AS" 1 "" "10202.20190912"
"187" 43 132 176 TRUE FALSE "AS" 1 "" "10202.20190912"
"188" 44 131 233 TRUE FALSE "AS" 1 "" "10202.20190912"
"189" 45 133 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10202.20190912"
"190" 46 134 NA FALSE FALSE "AS" -1 "no good saccades" "10202.20190912"
"191" 47 132 275 TRUE FALSE "AS" 1 "" "10202.20190912"
"192" 48 132 130 TRUE FALSE "AS" 1 "" "10202.20190912"
"193" 1 132 81 TRUE FALSE "AS" 1 "" "10644.20190926"
"194" 2 132 179 TRUE FALSE "AS" 1 "" "10644.20190926"
"195" 3 134 253 TRUE FALSE "AS" 1 "" "10644.20190926"
"196" 4 134 120 FALSE TRUE "AS" 2 "" "10644.20190926"
"197" 5 134 258 TRUE FALSE "AS" 1 "" "10644.20190926"
"198" 6 131 231 TRUE FALSE "AS" 1 "" "10644.20190926"
"199" 7 133 216 TRUE FALSE "AS" 1 "" "10644.20190926"
"200" 8 134 373 TRUE FALSE "AS" 1 "" "10644.20190926"
"201" 9 131 231 TRUE FALSE "AS" 1 "" "10644.20190926"
"202" 10 132 243 TRUE FALSE "AS" 1 "" "10644.20190926"
"203" 11 134 152 FALSE TRUE "AS" 2 "" "10644.20190926"
"204" 12 133 253 TRUE FALSE "AS" 1 "" "10644.20190926"
"205" 13 133 265 TRUE FALSE "AS" 1 "" "10644.20190926"
"206" 14 134 221 TRUE FALSE "AS" 1 "" "10644.20190926"
"207" 15 134 240 TRUE FALSE "AS" 1 "" "10644.20190926"
"208" 16 132 194 TRUE FALSE "AS" 1 "" "10644.20190926"
"209" 17 133 270 TRUE FALSE "AS" 1 "" "10644.20190926"
"210" 18 132 184 FALSE TRUE "AS" 2 "" "10644.20190926"
"211" 19 133 260 TRUE FALSE "AS" 1 "" "10644.20190926"
"212" 20 131 140 FALSE TRUE "AS" 2 "" "10644.20190926"
"213" 21 131 127 FALSE TRUE "AS" 2 "" "10644.20190926"
"214" 22 132 233 TRUE FALSE "AS" 1 "" "10644.20190926"
"215" 23 131 213 TRUE FALSE "AS" 1 "" "10644.20190926"
"216" 24 133 263 TRUE FALSE "AS" 1 "" "10644.20190926"
"217" 25 134 211 FALSE TRUE "AS" 2 "" "10644.20190926"
"218" 26 134 235 TRUE FALSE "AS" 1 "" "10644.20190926"
"219" 27 134 223 TRUE FALSE "AS" 1 "" "10644.20190926"
"220" 28 133 287 TRUE FALSE "AS" 1 "" "10644.20190926"
"221" 29 131 262 TRUE FALSE "AS" 1 "" "10644.20190926"
"222" 30 132 304 TRUE FALSE "AS" 1 "" "10644.20190926"
"223" 31 131 235 TRUE FALSE "AS" 1 "" "10644.20190926"
"224" 32 132 331 TRUE FALSE "AS" 1 "" "10644.20190926"
"225" 33 133 250 TRUE FALSE "AS" 1 "" "10644.20190926"
"226" 34 133 262 TRUE FALSE "AS" 1 "" "10644.20190926"
